Stop / sbottom mass (GeV) 	Cross section (pb) 	± Uncertainty
1905 	4.448E-05 	27.23 %
1910 	4.336E-05 	27.42 %
1915 	4.227E-05 	27.61 %
1920 	4.120E-05 	27.81 %
1925 	4.017E-05 	28.00 %
1930 	3.916E-05 	28.20 %
1935 	3.818E-05 	28.40 %
1940 	3.723E-05 	28.60 %
1945 	3.629E-05 	28.80 %
1950 	3.539E-05 	29.00 %
1955 	3.451E-05 	29.21 %
1960 	3.365E-05 	29.41 %
1965 	3.281E-05 	29.62 %
1970 	3.199E-05 	29.83 %
1975 	3.120E-05 	30.04 %
1980 	3.042E-05 	30.25 %
1985 	2.967E-05 	30.46 %
1990 	2.893E-05 	30.68 %
1995 	2.822E-05 	30.89 %
2000 	2.752E-05 	31.11 %
2005 	2.684E-05 	31.34 %
2010 	2.618E-05 	31.57 %
2015 	2.553E-05 	31.80 %
2020 	2.491E-05 	32.03 %
2025 	2.429E-05 	32.27 %
2030 	2.370E-05 	32.50 %
2035 	2.312E-05 	32.74 %
2040 	2.255E-05 	32.98 %
2045 	2.200E-05 	33.22 %
2050 	2.146E-05 	33.47 %
2055 	2.093E-05 	33.71 %
2060 	2.042E-05 	33.96 %
2065 	1.992E-05 	34.21 %
2070 	1.944E-05 	34.46 %
2075 	1.896E-05 	34.71 %
2080 	1.850E-05 	34.96 %
2085 	1.805E-05 	35.22 %
2090 	1.761E-05 	35.48 %
2095 	1.718E-05 	35.74 %
2100 	1.677E-05 	36.00 %
2105 	1.636E-05 	36.26 %
2110 	1.596E-05 	36.52 %
2115 	1.557E-05 	36.78 %
2120 	1.520E-05 	37.04 %
2125 	1.483E-05 	37.30 %
2130 	1.447E-05 	37.57 %
2135 	1.412E-05 	37.84 %
2140 	1.378E-05 	38.11 %
2145 	1.345E-05 	38.38 %
2150 	1.312E-05 	38.65 %
2155 	1.281E-05 	38.93 %
2160 	1.250E-05 	39.21 %
2165 	1.220E-05 	39.49 %
2170 	1.190E-05 	39.77 %
2175 	1.162E-05 	40.06 %
2180 	1.134E-05 	40.35 %
2185 	1.107E-05 	40.64 %
2190 	1.080E-05 	40.93 %
2195 	1.054E-05 	41.22 %
2200 	1.029E-05 	41.52 %
2205 	1.004E-05 	41.83 %
2210 	9.803E-06 	42.14 %
2215 	9.569E-06 	42.45 %
2220 	9.341E-06 	42.76 %
2225 	9.118E-06 	43.08 %
2230 	8.901E-06 	43.39 %
2235 	8.689E-06 	43.72 %
2240 	8.483E-06 	44.04 %
2245 	8.281E-06 	44.37 %
2250 	8.084E-06 	44.69 %
2255 	7.892E-06 	45.03 %
2260 	7.705E-06 	45.36 %
