mass_key,mStop,mLSP,region,unweighted,raw_weighted,raw_sumw2,normalized_weighted,normalized_sumw2,sumw_mass_point,xsec_pb,xsec_uncertainty_relative,normalization_factor,normalization_status
mStop1000_mLSP500,1000,500,LLCR,1575,1575.0,1575.0,13.557404112825623,0.11670044843076896,116392.0,0.009123,0.0857,0.008607875627190871,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1000_mLSP500,1000,500,QCDCR,679,679.0,679.0,5.844747550862602,0.05031085999015373,116392.0,0.009123,0.0857,0.008607875627190871,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1000_mLSP500,1000,500,GCR,0,0.0,0.0,0.0,0.0,116392.0,0.009123,0.0857,0.008607875627190871,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1000_mLSP500,1000,500,DY2E,0,0.0,0.0,0.0,0.0,116392.0,0.009123,0.0857,0.008607875627190871,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1000_mLSP500,1000,500,DY2M,0,0.0,0.0,0.0,0.0,116392.0,0.009123,0.0857,0.008607875627190871,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1000_mLSP500,1000,500,SR,29631,29631.0,29631.0,255.0599627092927,2.195524436477533,116392.0,0.009123,0.0857,0.008607875627190871,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1000_mLSP600,1000,600,preselection,44701,44701.0,44701.0,390.26961117040645,3.407314588109891,114755.0,0.009123,0.0857,0.008730668467604896,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1000_mLSP600,1000,600,LLCR,1648,1648.0,1648.0,14.388141634612868,0.12561809447674774,114755.0,0.009123,0.0857,0.008730668467604896,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1000_mLSP600,1000,600,QCDCR,627,627.0,627.0,5.47412912918827,0.04779280657580148,114755.0,0.009123,0.0857,0.008730668467604896,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1000_mLSP600,1000,600,GCR,0,0.0,0.0,0.0,0.0,114755.0,0.009123,0.0857,0.008730668467604896,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1000_mLSP600,1000,600,DY2E,0,0.0,0.0,0.0,0.0,114755.0,0.009123,0.0857,0.008730668467604896,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1000_mLSP600,1000,600,DY2M,0,0.0,0.0,0.0,0.0,114755.0,0.009123,0.0857,0.008730668467604896,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1000_mLSP600,1000,600,SR,25874,25874.0,25874.0,225.89731593080907,1.9722345731136959,114755.0,0.009123,0.0857,0.008730668467604896,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1000_mLSP700,1000,700,preselection,36520,36520.0,36520.0,286.4015580506285,2.24605291494599,127754.0,0.009123,0.0857,0.007842320866665623,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1000_mLSP700,1000,700,LLCR,1819,1819.0,1819.0,14.265181656464767,0.11187213177126931,127754.0,0.009123,0.0857,0.007842320866665623,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1000_mLSP700,1000,700,QCDCR,637,637.0,637.0,4.995558392066002,0.03917677181874577,127754.0,0.009123,0.0857,0.007842320866665623,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1000_mLSP700,1000,700,GCR,0,0.0,0.0,0.0,0.0,127754.0,0.009123,0.0857,0.007842320866665623,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1000_mLSP700,1000,700,DY2E,0,0.0,0.0,0.0,0.0,127754.0,0.009123,0.0857,0.007842320866665623,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1000_mLSP700,1000,700,DY2M,0,0.0,0.0,0.0,0.0,127754.0,0.009123,0.0857,0.007842320866665623,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1000_mLSP700,1000,700,SR,20772,20772.0,20772.0,162.9006890423783,1.2775194728712513,127754.0,0.009123,0.0857,0.007842320866665623,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1000_mLSP800,1000,800,preselection,14731,14731.0,14731.0,115.71181097045819,0.9089147510734538,127548.0,0.009123,0.0857,0.007854986828488099,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1000_mLSP800,1000,800,LLCR,1262,1262.0,1262.0,9.912993377551981,0.07786643241156056,127548.0,0.009123,0.0857,0.007854986828488099,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1000_mLSP800,1000,800,QCDCR,718,718.0,718.0,5.639880542854455,0.04430118737836806,127548.0,0.009123,0.0857,0.007854986828488099,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1000_mLSP800,1000,800,GCR,0,0.0,0.0,0.0,0.0,127548.0,0.009123,0.0857,0.007854986828488099,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1000_mLSP800,1000,800,DY2E,0,0.0,0.0,0.0,0.0,127548.0,0.009123,0.0857,0.007854986828488099,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1000_mLSP800,1000,800,DY2M,0,0.0,0.0,0.0,0.0,127548.0,0.009123,0.0857,0.007854986828488099,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1000_mLSP800,1000,800,SR,7312,7312.0,7312.0,57.43566368990498,0.45115638176967576,127548.0,0.009123,0.0857,0.007854986828488099,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1050_mLSP1,1050,1,preselection,20119,20119.0,20119.0,372.69122992125165,6.903859677927096,38096.0,0.006426,0.0902,0.01852434166316674,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1050_mLSP1,1050,1,LLCR,404,404.0,404.0,7.483834031919363,0.13863309855770897,38096.0,0.006426,0.0902,0.01852434166316674,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1050_mLSP1,1050,1,QCDCR,254,254.0,254.0,4.705182782444352,0.08716041344964871,38096.0,0.006426,0.0902,0.01852434166316674,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1050_mLSP1,1050,1,GCR,0,0.0,0.0,0.0,0.0,38096.0,0.006426,0.0902,0.01852434166316674,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1050_mLSP1,1050,1,DY2E,0,0.0,0.0,0.0,0.0,38096.0,0.006426,0.0902,0.01852434166316674,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1050_mLSP1,1050,1,DY2M,0,0.0,0.0,0.0,0.0,38096.0,0.006426,0.0902,0.01852434166316674,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1050_mLSP1,1050,1,SR,10942,10942.0,10942.0,202.69334647837047,3.7547608030159694,38096.0,0.006426,0.0902,0.01852434166316674,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1050_mLSP100,1050,100,preselection,33928,33928.0,33928.0,368.6219611251213,4.005015038426386,64953.0,0.006426,0.0902,0.01086483026188167,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1050_mLSP100,1050,100,LLCR,674,674.0,674.0,7.322895596508245,0.07956201768154281,64953.0,0.006426,0.0902,0.01086483026188167,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
