mStop,xsec_pb,uncertainty_percent,uncertainty_relative,uncertainty_up_relative,uncertainty_down_relative,source_file,parsing_status
1280,0.001437,11.73,0.1173,0.1173,0.1173,signal_xsec.txt,parsed
1285,0.001393,11.8,0.11800000000000001,0.11800000000000001,0.11800000000000001,signal_xsec.txt,parsed
1290,0.001351,11.86,0.1186,0.1186,0.1186,signal_xsec.txt,parsed
1295,0.00131,11.93,0.1193,0.1193,0.1193,signal_xsec.txt,parsed
1300,0.001271,12.0,0.12,0.12,0.12,signal_xsec.txt,parsed
1305,0.001232,12.07,0.1207,0.1207,0.1207,signal_xsec.txt,parsed
1310,0.001195,12.14,0.12140000000000001,0.12140000000000001,0.12140000000000001,signal_xsec.txt,parsed
1315,0.00116,12.21,0.12210000000000001,0.12210000000000001,0.12210000000000001,signal_xsec.txt,parsed
1320,0.001125,12.29,0.1229,0.1229,0.1229,signal_xsec.txt,parsed
1325,0.001091,12.36,0.12359999999999999,0.12359999999999999,0.12359999999999999,signal_xsec.txt,parsed
1330,0.001059,12.44,0.1244,0.1244,0.1244,signal_xsec.txt,parsed
1335,0.001027,12.52,0.1252,0.1252,0.1252,signal_xsec.txt,parsed
1340,0.0009969,12.59,0.1259,0.1259,0.1259,signal_xsec.txt,parsed
1345,0.0009673,12.67,0.1267,0.1267,0.1267,signal_xsec.txt,parsed
1350,0.0009387,12.75,0.1275,0.1275,0.1275,signal_xsec.txt,parsed
1355,0.0009111,12.83,0.1283,0.1283,0.1283,signal_xsec.txt,parsed
1360,0.0008842,12.91,0.1291,0.1291,0.1291,signal_xsec.txt,parsed
1365,0.0008582,13.0,0.13,0.13,0.13,signal_xsec.txt,parsed
1370,0.0008331,13.08,0.1308,0.1308,0.1308,signal_xsec.txt,parsed
1375,0.0008087,13.16,0.1316,0.1316,0.1316,signal_xsec.txt,parsed
1380,0.000785,13.25,0.1325,0.1325,0.1325,signal_xsec.txt,parsed
1385,0.0007621,13.33,0.1333,0.1333,0.1333,signal_xsec.txt,parsed
1390,0.0007399,13.42,0.13419999999999999,0.13419999999999999,0.13419999999999999,signal_xsec.txt,parsed
